supplier,supplier_sku,aliases,description,pack_size,base_unit,unit_cost_gbp,lines_seen,last_seen,min_confidence
Brakes,129916,A 129916,eGreen Naturelle Cocktail Black Paper Straw 140 x 6mm,4 x 250,,16.58,3,2026-03-23,0.90
Brakes,130698,A130698,eGreen Black Paper Straw 200mm x 6mm,4 x 250,,13.36,2,2026-03-25,0.90
Brakes,131051,"F 131051, F131051",Sysco Classic Cauliflower Wings,1x1kg,kg,9.16,9,2026-09-04,0.80
Brakes,132644,A 132644,Maldon Sea Salt Flakes,1 x 570g,kg,5.59,5,2026-04-20,0.90
Brakes,132839,A 132839,Clear Vinyl Powdered Disposabale Glove Xtra Large,1 x 100,,5.49,2,2026-04-15,0.93
Brakes,133522,A 133522,PH Shield Vinyl Clear Gloves Small Powder Free,1 x 100,,5.99,6,2026-08-12,0.90
Brakes,133561,"F 133561, F133561",Brakes Essentials Fully Baked Tomato & Cheese Quiche Slabs,4 x 1kg,kg,22.18,9,2026-06-11,0.90
Brakes,133562,F 133562,Brake Essen Leek & Emmental Slab,4x1kg,kg,23.07,8,2026-09-11,0.90
Brakes,133638,"F 133638, F133638",Brakes Essentials Quiche Lorraine,4x1kg,kg,22.5,9,2026-09-11,0.90
Brakes,133678,"A 133678, A133678",Dr Oetker Cocoa Powder,1x1kg,kg,15.04,40,2026-09-11,0.90
Brakes,133687,"A 133687, A133687",Macphie Vegan Cream Alternative,1x1ltr,L,3.77,7,2026-08-12,0.90
Brakes,133732,"A 133732, A133732",Baylis & Harding Jasmine & Apple Blossom Hand Wash,1 x 5ltr,L,10.14,21,2026-08-12,0.90
Brakes,133751,"A 133751, A133751",Super Professional Green Washing Up Liquid,2 x 5ltr,L,10.45,21,2026-09-08,0.90
Brakes,133755,"A 133755, A133755",Super Professional Glass and Stainless Steel Cleaner,6 x 750ml,L,6.92,5,2026-08-10,0.90
Brakes,133756,A 133756,Super Professional Machine Dishwash,2 x 5ltr,L,13,4,2026-04-13,0.90
Brakes,133757,"A 133757, A133757",Super Toilet Cleaner,6x1ltr,L,6.43,4,2026-04-20,0.90
Brakes,133965,,Sheese Original Spread,6x255g,kg,14.13,2,2025-12-11,0.90
Brakes,134245,"A 134245, A134245",Doritos Lightly Salted Tortilla Chips Crisps Nachos,12 x 455g,kg,30.17,16,2026-09-09,0.90
Brakes,134277,A 134277,Monin Pump for 1ltr Plastic Syrup,1 x 1,L,3.98,2,2026-04-06,0.90
Brakes,134331,"C 134331, C134331",Buffalo Mozzarella,8 x 125g,kg,15.95,5,2026-03-30,0.80
Brakes,134383,"A 134383, A134383",Propercorn Sweet & Salty Popcorn,8 x 90g,kg,8.95,11,2026-07-15,0.90
Brakes,134730,"F 134730, F134730",Salimah Halal Sliced Beef Pepperoni,1 x 1kg,kg,12.24,17,2026-07-21,0.90
Brakes,135095,A 135095,DaVinci Sugar Free Vanilla Syrup,1 x 1ltr,L,7.41,2,2026-04-20,0.90
Brakes,135336,"A 135336, A135336",Sysco Classic Sour Cream 890g,1 x 890g,kg,4.39,23,2026-09-07,0.90
Brakes,135420,"C 135420, C135420",Sheese Vegan Grated Mozzarella,1 x 1kg,kg,9.65,11,2026-08-10,0.90
Brakes,135429,"A 135429, A135429",OGGS® Aquafaba Plant-Based Egg Alternative,1 x 1ltr,L,6.01,20,2026-07-21,0.90
Brakes,135440,A 135440,Ramon Hygiene Grey Dustpan & Brush,1x1,,9.37,2,2026-04-29,0.90
Brakes,135575,"C 135575, C135575",Noble Free Range Liquid Egg White,1x1kg,kg,3.88,123,2026-09-11,0.70
Brakes,135791,"F 135791, F135791",Sysco Simply Falafel,1x1.4kg,kg,18.45,17,2026-09-11,0.90
Brakes,136145,"F 136145, F136145",Ice Club Ice Cubes,5x1.8kg,kg,3.91,10,2026-08-12,0.90
Brakes,136227,A 136227,Brakes Mini Pink and White Marshmallows,1 x 350g,kg,5.45,4,2026-04-13,0.90
Brakes,136346,"A 136346, A136346",Kettle Lightly Salted Crisps,12 x 130g,kg,17.98,6,2026-07-21,0.90
Brakes,136376,A 136376,Brake Essentials Degreaser,6X750ML,L,10.28,6,2026-05-11,0.90
Brakes,136385,A 136385,Brakes Essentials Air Freshener,6 x 750ml,L,9.44,2,2026-04-10,0.90
Brakes,136387,A 136387,Brakes Essentials Pine Disinfectant,2 x 5ltr,L,6.71,2,2026-04-29,0.90
Brakes,136396,C 136396,Brakes Garlic Butter,1 x 1.75kg,kg,32.54,2,2026-04-29,0.90
Brakes,136706,A 136706,Brakes Essentials Rinse Aid,2 x 5ltr,L,0.5,3,2026-04-15,0.93
Brakes,136708,"A 136708, A136708",Brakes Essentials Dishwasher Detergent,2 x 5ltr,L,12.87,8,2026-07-21,0.90
Brakes,136748,A136748,Sysco Classic Lemon Juice 1ltr,1 x 1ltr,L,2.44,3,2026-01-14,0.90
Brakes,136749,"A 136749, A136749",Sysco Classic Lime Juice,1 x 1ltr,L,2.55,5,2026-09-09,0.90
Brakes,136898,"A 136898, A136898",Finish Dishwasher Salt,4 x 4kg,kg,26.4,5,2026-09-07,0.90
Brakes,145932,F 145932,La Boulangerie Pitta Breads,6 x 6,,8.04,6,2026-05-11,0.90
Brakes,145933,"F 145933, F145933",La Boulangerie Wholemeal Pitta Breads,6 x 6,,6.01,15,2026-05-13,0.90
Brakes,146082,"A 146082, A146082",Dettol Professional Antibacterial Hand Soap Refill,1 x 5ltr,L,15.39,5,2026-08-10,0.90
Brakes,146257,C 146257,British Isle of Wight Cherry Tomatoes,1 x 250g,kg,1.5,2,2026-04-27,0.90
Brakes,148019,F 148019,THIS™ Vegan Chicken Goujons,1 x 1kg,kg,11.89,3,2026-08-10,0.90
Brakes,148637,"A 148637, A148637",MONIN Premium Hazelnut Syrup 1ltr,1 x 1 ltr,L,9.16,5,2026-09-02,0.90
Brakes,148638,A148638,MONIN Premium Gingerbread Syrup 1ltr,1 x 1 ltr,L,8.11,2,2026-09-02,0.90
Brakes,149359,"F 149359, F149359",Sysco Simply Plant Based Grilled Vegetable & Sundried Tomato Tart,1 x 18,,54.17,5,2026-06-11,0.90
Brakes,149492,"A 149492, A149492",Ariel Professional Formula Pro Plus Powder,1 x 6.5kg,kg,22.93,18,2026-09-07,0.80
Brakes,149597,,Dr Oetker Prof GF Baking Powder,1x500g,kg,3.07,2,2026-03-09,0.90
Brakes,149766,F 149766,F 149766 - Aviko Rosti Bites 1 x 2.5kg,1 x 2.5kg,kg,6.36,2,2026-04-22,0.90
Brakes,149957,"C 149957, C149957",Meadowland 31% Double Cream Alternative,1 x 1ltr,L,3.99,19,2026-09-01,0.80
Brakes,149963,"A 149963, A149963","Sysco Classic BBQ Sauce, 2.15L",1 x 2.15ltr,L,6.74,13,2026-09-07,0.90
Brakes,149964,"A 149964, A149964","Sysco Classic Tomato Ketchup, 2.15L",1 x 2.15ltr,L,6.99,22,2026-09-02,0.90
Brakes,149979,"F 149979, F149979",Grilly Sandwich Focaccia Pre-Sliced,1x36,,23.07,27,2026-09-11,0.80
Brakes,150316,A 150316,Hudson's Tomato Ketchup,1 x 1ltr,L,3.7,4,2026-06-09,0.90
Brakes,150317,A 150317,Hudson's Barbeque Sauce,1 x 1ltr,L,5.17,6,2026-06-09,0.90
Brakes,150343,A150343,Optimum Wht Z Fold Hand Towl 2Ply,15x198,,29.67,8,2026-08-12,0.90
Brakes,150769,A 150769,Orchard Valley Vegan Mini White Marshmallows,1 x 1kg,kg,11.75,2,2026-04-13,0.90
Brakes,150793,F 150793,"Sysco Simply Plant Based 4"" Vegan Sausage Rolls",1 x 60,,23.16,4,2026-04-29,0.90
Brakes,150847,"A 150847, A150847",A 150847 - Tate & Lyle Granulated Sugar 1 x 3kg,1 x 3kg,kg,9.58,5,2026-05-15,0.70
Brakes,150945,A150945,Quantum Professional Glasswasher Liquid Detergent,1 x 5l,L,19,2,2026-08-10,0.90
Brakes,150982,"A 150982, A150982",Ocean Spray Cranberry Pink,12 x 1ltr,L,,4,2026-04-29,0.90
Brakes,151047,A 151047,BWT Granular Salt,1 x 25kg,kg,14.12,7,2026-09-08,0.90
Brakes,151207,"A 151207, A151207",Nestlé Shredded Wheat,5 x 16,,14.69,50,2026-04-30,0.80
Brakes,151574,A151574,Whisper Eco Toilet Roll 2ply,1 x 40,each,25.54,4,2026-04-29,0.90
Brakes,151944,A 151944,Funkin Strawberry Puree,1 x 1kg,kg,7.25,3,2026-07-21,0.90
Brakes,152061,A152061,Lotus Biscoff Smooth Spread Crema,1 x 3kg,kg,16.93,3,2026-07-13,0.90
Brakes,152101,A 152101,Sysco Classic Caramelised Red Onion Chutney,1 x 2kg,kg,9.79,13,2026-09-07,0.80
Brakes,152261,A 152261,Nairn's Gluten Free Wholegrain Oat Crackers,60 x 12g,kg,13.5,4,2026-04-29,0.90
Brakes,152268,"A 152268, A152268",DaVinci Gourmet Vanilla Syrup,1x1ltr,L,6.67,13,2026-09-11,0.90
Brakes,152269,"A 152269, A152269",DaVinci Gourmet Hazelnut Syrup,1 x 1ltr,L,6.57,7,2026-08-10,0.90
Brakes,152412,A 152412,Ballygarvey 60 British Barn Eggs Med,1 x 60,,11.4,2,2026-03-04,0.90
Brakes,152601,A152601,Sephra Belgian Milk Couverture Chocolate 2.5kg,1 x 2.5kg,kg,30.09,5,2026-04-29,0.90
Brakes,152755,"C 152755, C152755",Zesty Baby Salad Leaf Mix,1 x 80g,kg,1.38,17,2026-09-07,0.90
Brakes,16191,"C 16191, C16191",Sysco Classic Sliced Salt Beef,1x1kg,kg,32.72,31,2026-09-11,0.80
Brakes,17408,"A 17408, A17408",Hellmann's Classic Vinaigrette Dressing 1L,1 x 1ltr,L,6.52,8,2026-09-07,0.90
Brakes,18019,A 18019,Lotus Biscoff Biscuits – 300 Caramelised Biscuits,1 x 300,,14.97,2,2026-08-10,0.90
Brakes,18422,"C 18422, C18422",Green Valley Dairy Set Soured Cream,1 x 2kg,kg,13.99,3,2026-04-29,0.90
Brakes,18502,"C 18502, C18502",Brakes UHT Aerosol Cream Sweetened,1 x 500g,kg,3.61,21,2026-09-09,0.80
Brakes,185763,"A 185763, A185763",Lotus Biscoff Crumb,8x750g,kg,33.52,26,2026-08-13,0.90
Brakes,189141,A189141,MONIN Premium Cinnamon Roll Syrup,1 x 1ltr,L,8.74,2,2026-07-13,0.90
Brakes,19665,"C 19665, C19665",Arla Long Life UHT Semi Skimmed Milk 1L,12 x 1ltr,L,14.76,79,2026-09-09,0.80
Brakes,20954,"A 20954, A20954","Blue Piping Bag 20""",1 x 100,,19.66,8,2026-09-08,0.90
Brakes,22053,"C 22053, C22053",Sysco Classc Mozz Shredded Cheese,1x2kg,kg,11.07,54,2026-09-11,0.80
Brakes,25412,"A 25412, A25412",A 25412 - KETTLE® Chips Sweet Chilli & Sour Cream 40g 18 x 40g,18 x 40g,kg,9.65,6,2026-05-15,0.90
Brakes,255,"A 255, A255",Sysco Classic Desiccated Coconut,1x2kg,kg,11.59,18,2026-09-11,0.90
Brakes,26089,"A 26089, A26089",Vinyl Gloves Clear Lge PF GD09L,1x100,L,6.89,66,2026-09-11,0.80
Brakes,26090,"A 26090, A26090",Vinyl Gloves Clear Med PF GD09M,1x100,,7.59,21,2026-09-10,0.90
Brakes,27544,"C 27544, C27544",Sysco Classc Grt Mild White Cheddr,1x1kg,kg,6.99,36,2026-09-11,0.90
Brakes,28059,"A 28059, A28059",Wooden Cocktail Sticks,1x1000,each,1.13,19,2026-09-10,0.90
Brakes,28624,"A 28624, A28624",Harrogate Sparkling Spring Water 500ml,24 x 500ml,L,8.39,6,2026-09-02,0.90
Brakes,28797,A 28797,Opies Sliced Gherkins,1 x 2.3kg,kg,8.02,6,2026-09-07,0.80
Brakes,2926,"A 2926, A2926",Brakes Walnut Pieces,1x1kg,kg,12.39,34,2026-09-10,0.89
Brakes,29547,"A 29547, A29547",Medium Blue Vinyl Gloves Powder Free,1 x 100,,6.39,6,2026-08-10,0.90
Brakes,29548,"A 29548, A29548",Large Blue Vinyl Gloves Powder Free,1 x 100,L,7.09,37,2026-09-01,0.80
Brakes,33328,"F 33328, F33328",Frozen Fresh Strawberries,1 x 1kg,kg,7.06,12,2026-08-10,0.90
Brakes,33568,"A 33568, A33568",Sysco Classic Extended Life Rapeseed Oil,1 x 5ltr,L,10.77,12,2026-08-12,0.90
Brakes,33581,"A 33581, A33581",Sysco Classic Ground Cinnamon,1x450g,kg,5.89,14,2026-09-11,0.90
Brakes,33583,A 33583,Sysco Classic Ground Ginger,1 x 400g,kg,5.66,5,2026-06-11,0.90
Brakes,33596,A 33596,Sysco Classic Bicarbonate Of Soda,1kg,kg,4.12,9,2026-03-30,0.90
Brakes,33781,A 33781,Sysco Classic Baking Powder,1x3.5kg,kg,16.79,2,2026-03-16,0.90
Brakes,33891,"A 33891, A33891",Sysco Classic Self Raising Flour,1 x 25kg,kg,25.4,10,2026-04-08,0.90
Brakes,34031,A 34031,Brakes Demerara Sugar Sticks,1 x 1000,,9.16,5,2026-07-13,0.80
Brakes,350101,"A 350101, A350101",Tate & Lyle Icing Sugar,1x3kg,kg,5.26,25,2026-09-11,0.80
Brakes,350102,"A 350102, A350102",Tate & Lyle Light Brown Soft Sugar,1x3kg,kg,11,25,2026-09-11,0.80
Brakes,36070,"A 36070, A36070",Lenor Professional S2 Extra Soft & Fresh 10L (Laundry System Fabric Conditioner),1 x 10ltr,L,29.67,3,2026-07-13,0.90
Brakes,450694,C450694,Carrots,1 x 2kg,kg,1.46,9,2026-06-11,0.90
Brakes,4617,"A 4617, A4617",Brakes Whole Hazelnuts,1x1kg,kg,13.89,27,2026-09-10,0.90
