supplier,supplier_sku,description,pack_size,lines_seen,unit_cost_gbp,client_name,source,proposed_product,proposed_stock_code,alternatives,decision,new_product_name,new_stock_uom
Sysco,F149991,Sysco Premium Caramel Cake,1 x 14 ptn,2,24.77,,matched,Caramel Cake,BAKE-CARA-COOK,Caramel [BAKE-ESSN-CARA],Y,Sysco Premium Caramel Cake,each
Brakes,129209,Sysco Premium Velvet Houmous,1 x 1kg,2,5.45,,none,,,,ADD ITEM,Sysco Premium Velvet Houmous,kg
Brakes,135791,Sysco Simply Falafel,1x1.4kg,17,18.45,,matched,Falafel,FALA,,Y,Sysco Simply Falafel,kg
Brakes,150793,"Sysco Simply Plant Based 4"" Vegan Sausage Rolls",1 x 60,4,23.16,,matched,Vegan Sausage roll,VEGN-SAUS-ROLL,Sausage Rolls [SAUS-ROLL],Y,"Sysco Simply Plant Based 4"" Vegan Sausage Rolls",each
Brakes,149359,Sysco Simply Plant Based Grilled Vegetable & Sundried Tomato Tart,1 x 18,5,54.17,,none,,,,ADD ITEM,Sysco Simply Plant Based Grilled Vegetable & Sundried Tomato Tart,each
Brakes,109349,T & L Sucrolose Sweetener Stick,1x1000,2,7.48,,none,,,,ADD ITEM,T & L Sucrolose Sweetener Stick,each
Brakes,10465,Tate & Lyle Granulated Sugar,1 x 5kg,3,6.79,Granulated Sugar,client-description,Granulated Sugar,BAKE-GRAN-SUGR,,Y,Granulated Sugar,kg
Brakes,350101,Tate & Lyle Icing Sugar,1x3kg,25,5.26,Granulated Sugar,client-description,Granulated Sugar,BAKE-GRAN-SUGR,,BAKE-WHIT-ICNG,Granulated Sugar,kg
Brakes,350102,Tate & Lyle Light Brown Soft Sugar,1x3kg,25,11,Granulated Sugar,client-description,Granulated Sugar,BAKE-GRAN-SUGR,,LGHT-BROW-SUGR,Granulated Sugar,kg
Amazon,B0C5WYRPM6,"The Chic Way 40 Pcs Hair Bobbles, Elastic Hair Bands, Black Hair Ties, 4mm",,2,5.688,,none,,,,ADD ITEM,"The Chic Way 40 Pcs Hair Bobbles, Elastic Hair Bands, Black Hair Ties, 4mm",each
Brakes,100244,The Juice Apple Juice,12 x 1ltr,4,14.55,"Fruit Juice (Apple, Orange & Pineapple)",matched,Apple Juice,JUIC-FRUT-APP,,Y,"Fruit Juice (Apple, Orange & Pineapple)",l
Brakes,89657,The Juice Apple Juice,27 x 200ml,2,9.99,"Fruit Juice (Apple, Orange & Pineapple)",matched,Apple Juice,JUIC-FRUT-APP,,Y,"Fruit Juice (Apple, Orange & Pineapple)",l
Brakes,129476,The London Essence Co. Soda Water 200ml,24 x 200ml,2,21.9,,none,,,,ADD ITEM,The London Essence Co. Soda Water 200ml,l
Amazon,B0HCVPLX9T,"Thinp 15 Pcs Thin Elastic Headbands, Colorful Sports Headband for Women Men",,2,6.79,,none,,,,ADD ITEM,"Thinp 15 Pcs Thin Elastic Headbands, Colorful Sports Headband for Women Men",each
Brakes,148019,THIS™ Vegan Chicken Goujons,1 x 1kg,3,11.89,,none,,,,VEGN-CHIK-TEND,THIS™ Vegan Chicken Goujons,kg
Brakes,120133,Tidman's Natural Rock Salt 500g,1 x 500g,2,1.32,,none,,,,ADD ITEM,Tidman's Natural Rock Salt 500g,kg
Amazon,B0BVM7QVQ7,TooGet Fragrant Natural Jasmine Buds Pure Dried Jasmine Flowers Wholesale Herbal Tea,2 OZ (60g),2,7.8833,,none,,,,ADD ITEM,TooGet Fragrant Natural Jasmine Buds Pure Dried Jasmine Flowers Wholesale Herbal Tea,kg
Brakes,122879,Twinings Earl Grey String & Tag Tea Bags,100 x 2g,2,7.76,,matched,Earl Grey Tea,EARL-GREY-TEA,,EARL-GREY-TEA,Twinings Earl Grey String & Tag Tea Bags,kg
Brakes,89463,Twinings Invigorating Pmint,1x20,9,2.62,,none,,,,PEPP-TEA,Twinings Invigorating Pmint,each
Brakes,89465,Twinings Pure Green Tea,1x20,2,2.58,,matched,Green Tea,GREE-TEA,,GREE-TEA,Twinings Pure Green Tea,each
Brakes,26089,Vinyl Gloves Clear Lge PF GD09L,1x100,66,6.89,,none,,,,ADD ITEM,Vinyl Gloves Clear Lge PF GD09L,each
Brakes,26090,Vinyl Gloves Clear Med PF GD09M,1x100,21,7.59,,none,,,,ADD ITEM,Vinyl Gloves Clear Med PF GD09M,each
Amazon,B07TCN2G1R,"Vytronix Powerful Electric Pressure Washer 1400W | Jet Wash | High-Performance Power Cleaner for Car, Home, Patio and Garden Furniture 105 Bar Water Jet Yellow",,2,59.99,,none,,,,ADD ITEM,"Vytronix Powerful Electric Pressure Washer 1400W | Jet Wash | High-Performance Power Cleaner for Car, Home, Patio and Garden Furniture 105 Bar Water Jet Yellow",each
Brakes,151574,Whisper Eco Toilet Roll 2ply,1 x 40,4,25.54,Toilet Roll,client-sku,Toilet Roll,CLEN-TOIL-ROLL,,Y,Toilet Roll,each
Sysco,A88445,"Whisper Ultra Toilet Roll, 3 Ply, 160 Sheets",10 x 4,4,29.39,,matched,Toilet Roll,CLEN-TOIL-ROLL,,Y,"Whisper Ultra Toilet Roll, 3 Ply, 160 Sheets",each
LWC Drinks,26049012,WHITE CLAW SELTZ BCHERRY,12X330,3,19.99,,none,,,,WHIT-CLAW-BLAC,WHITE CLAW SELTZ BCHERRY,each
LWC Drinks,26049013,WHITE CLAW SELTZ RASPB,12X330ML,2,19.99,,none,,,,WHIT-CLAW-RASP,WHITE CLAW SELTZ RASPB,l
Booker,261603,White Claw Seltzer Cherry,12 330ml,2,15.99,,none,,,,WHIT-CLAW-BLAC,White Claw Seltzer Cherry,l
Brakes,11127,Wholesome Farms Unsalted Butter,40x250g,158,58.51,Unsalted Butter,client-sku,Unsalted Butter,DAIR-UNSL-BUTR,,Y,Unsalted Butter,kg
Brakes,28059,Wooden Cocktail Sticks,1x1000,19,1.13,,matched,Cocktail Sticks,BAMB-COCK-STIK,,Y,Wooden Cocktail Sticks,each
Sysco,A21957,Wrapmaster 4500 PVC Cling Film Refill Rolls - 45cm x 300m x 3,1 x 3 rolls,4,40.1,Cling Film,client-description,Cling Film,PACK-CLNG-FILM,,Y,Cling Film,each
Brakes,152755,Zesty Baby Salad Leaf Mix,1 x 80g,17,1.38,,matched,Baby Salad,BABY-SALA,,BABY-SALA,Zesty Baby Salad Leaf Mix,kg
