suggested_name,stock_item,category,group_id,sku,supplier,pack_size,sheet
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent,cleaning,752,136388,Brakes,2x5l,Sheet1
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent,cleaning,752,23178,Brakes,2x5l,Sheet1
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent,cleaning,752,21357,Brakes,2x5l,Sheet1
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent,cleaning,752,,Brakes,2x51,Sheet1
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent,cleaning,752,135192,Brakes,2x5l,Sheet1
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent,cleaning,752,138388,Brakes,2x5l,Sheet1
Non-Bio Laundry Detergent,Brake Essentials Laundry Detergent 2x5l,cleaning,752,136388,Brakes,,Sheet1
Non-Bio Laundry Detergent,Brakes Essentials Non-Biological Laundry,cleaning,752,A136388,Brakes,2 x 5ltr,Sheet1
Non-Bio Laundry Detergent,Brakes Essentials Non-Biological Laundry Detergent,cleaning,752,A 136388,Brakes,2 x 5ltr,Sheet1
Non-Bio Laundry Detergent,Brakes Essentials Non-Biological Laundry Detergent,cleaning,752,A136388,Brakes,2 x 5ltr,Sheet1
Non-Bio Laundry Detergent,Brakes Essentials Non-Biological Laundry Detergent,cleaning,752,136388,Brakes,2 x 5ltr,Sheet1
Laundry Softener,Brake Essentials Laundry Softener,cleaning,753,136389,Brakes,2x5l,Sheet1
Pine Disinfectant,Brakes Essentials Pine Disinfectant,cleaning,754,A136387,Brakes,2 x 5ltr,Sheet1
Pine Disinfectant,Brakes Essentials Pine Disinfectant,cleaning,754,A 136387,Brakes,2 x 5ltr,Sheet1
Pine Disinfectant,Brake Essentials Pine Disinfectant,cleaning,754,136387,Brakes,2x5l,Sheet1
Washing Up Liquid,Brake Essentials Washing Up Liquid,cleaning,756,136373,Brakes,2x5l,Sheet1
