sku,supplier,supplier_sku,cost_gbp,pack_size,pack_size_raw,price_is_placeholder,sku_is_placeholder,invoice_name
BAKE-PARC-ROLL,Brakes,86681,32.05,,45cmx50m(cs)2 1x3,,,Baking Parch Refill
BAKE-PARC-ROLL,Brakes,NOSKU,31.84,,1x3,,yes,Baking Parch Refill45cmx50m(cs)21C32 1x3
BAKE-PLAN-FLOR,Brakes,114951,10.84,9,6x1.5kg,,,Brake Plain Flour
BAKE-PUFF-RICE,Brakes,105856,22.18,6.4,8x800g,,,Brakes Crisp Puffed Rice
BAKE-PUFF-RICE,Brakes,105956,17.77,4.8,8x600g,,,Brakes Crisp Puffed Rice
BAKE-PUFF-RICE,Brakes,109595,17.91,4,8x500g,,,Brakes Crisp Puffed Rice
BAKE-PUFF-RICE,Brakes,A 105956,66.54,4.8,8 x 600g,,,Brakes Crisp Puffed Rice
BAKE-PUFF-RICE,Brakes,A105956,22.00,4.8,8 x 600g,,,Brakes Crisp Puffed Rice
BAKE-WHIT-ICNG,B&M,NOSKU,0.40,1,1KG,,yes,BETTY W WHITEICING
BAKE-YEAS-DRY,M&S,29107094,1.10,,,,,BRWCKS YEAST
BAKE-YEAS-DRY,Sainsbury's,NOSKU,1.55,,,,yes,ALLINSON YEAST
BAKE-YEAS-DRY,Tesco,NOSKU,1.60,0.042,6x7g,,yes,Allinson Easy Bake Yeast
BAMB-COCK-STIK,Amazon,B07L63GSHL,6.28,,200 Counts,,,"AooQie Cocktail Sticks 200 Counts Food Picks Japaneses Style Bamboo Knotted Skewers Bamboo Toothpicks with Twisted Ends party supplies-4.7 inches, 12cm"
BAMB-COCK-STIK,Amazon,B0BF8XN11D,5.66,,,,,"200 Pcs Cocktail Sticks - Bamboo Toothpicks 12 cm Japaneses Style Natural Bamboo Knotted Skewers Food Sticks Tooth Picks for Drinks, Fruit, Appetizer, Cocktail Garnish Accessories, Party Supplies"
BAMB-COCK-STIK,Amazon,NOSKU,0.10,,12 cm,yes,yes,200 Pcs Cocktail Sticks - Bamboo Toothpicks
BANA-TOFF-LOAF,Brakes,F 118430,17.70,,1 x 19ptn,,,Brakes Banana & Toffee Loaf Cake
BANA-TOFF-LOAF,Brakes,F118430,0.10,,1 x 19ptn,yes,,Brakes Banana & Toffee Loaf Cake
BAR-GREN-SYRP,LWC Drinks,50006287,7.00,,,,,BRISTOL GRENADINE SYRUP 75CL
BAR-RASP-SYRP,LWC Drinks,50006281,8.00,,,,,BRISTOL SYRUP RASPBERRY 75CL
